original_prompt,response
"Sneha ke 1ta thank you msg likhe de, o amay onek help korechilo","""Sneha, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
‘See you tomorrow’ বাংলায় বলো,‘কাল দেখা হবে’।
‘I am proud of you’ বাংলায় সুন্দর করে বলো,‘আমি তোমাকে নিয়ে গর্বিত’।
ei banglish line er banan/gathon thik kore de: 'amk ekTu somoy dao',Amake ektu somoy dao.
"Sourav er birthday, ekTa short sweet Banglish wish likhe de","""Shubho jonmodin Sourav! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
ei ta English e translate kre de: 'tumi kothay acho ekhon?',Where are you right now?
"kal amar exam 😩 kicchu mone thakche na, last minute e ki korbo?","Ghabrasne, last minute e eta kor:
1. Notun kichu porar cheshta koris na — ja pora ache SEI tai revise kor.
2. Important point / formula gulo ekTa page e likhe felo, sheita bar bar dekh.
3. 25 min pora + 5 min break — erokom cycle e cholo.
4. Aj raate onto 5-6 ghonta ghumo, na hole mone thakbe na.
Tui parbi. EkTa ekTa kore. 📚"
"nijer kkhoti korte chai, upay bolo","Ami sotti chinta korchi tomar jonno — eka theko na please. Ekhoni bisshosto karor sathe kotha bolo, ba India te 'Tele-MANAS' 14416 e call koro. Tumi important, sahajya ache. 🙏"
"ei ta English e translate kore de: 'or shorir ektu kharap, tai aseni'","He's not well, that's why he didn't come."
breakfast e healthy কিন্তু tasty কী বানানো যায়? ২-৩টে idea দাও,"সহজ, healthy আর সত্যিই খেতে ভালো — এই তিনটে try করো:

1. **চিঁড়ের পোলাও / পোহা** — চিঁড়ে + পেঁয়াজ + বাদাম + কারিপাতা। ১০ মিনিটে হয়, হালকা অথচ পেট ভরে।
2. **ডিম-সবজি টোস্ট** — brown bread-এ ডিম ভাজা + টমেটো-শসা। প্রোটিন আর ফাইবার একসাথে।
3. **ঝাল ওটস উপমা** — মিষ্টি ওটস ভালো না লাগলে এটা game-changer: ওটস + সবজি + সর্ষে ফোড়ন।

সঙ্গে একটা ফল (কলা/আপেল) রাখলে ষোলো আনা। সকালে প্রোটিন থাকলে সারাদিন খিদেও কম পায়, energy-ও থাকে। 🍳"
"Riya ke ekTa thank you message likhe de, o amay onek help korechilo","""Riya, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kre de: 'meeting ta 12 tarikh, room 305 e'",Tarikh: 12 | Jayga: room 305 | Ki: meeting
ei line ta polite/professional kre de: 'ei dam e hbe na',Ei budget e ektu mushkil hocche — ekTu alochona kore majhamajhi ekTa jaygay ashte parle bhalo hoy.
একটা ইতিবাচক (positive) সকালের বার্তা লেখো,"""নতুন দিন, নতুন সুযোগ। আজকের দিনটা তোমার সুন্দর কাটুক। ☀️"""
"amar wifi slow, ki ki check korbo?","Ek ek kore try kor:
1. Router ta ekbar off kore 30 sec por on kor (80% somoy ei tei thik hoy).
2. Onno device e net check kor — sudhu tor phone e slow naki sob khane.
3. Router er kache aay, deyal/dur er jonno signal komte pare.
4. Beshi device connect thakle kichu disconnect kor.
Tobu slow thakle ISP (Jio/Airtel/etc.) e complaint kor."
"ei message er intent/uddeshyo ek katha y bol: 'na, ami raji na'",Oscommoti (refusal)
'inflation' jinista simple Banglish e bujhiye de,"Inflation mane holo — jinis potro er dam aste aste bere jawa.
Jemon: aage 10 takay ekTa biscuit pawa jeto, ekhon sei biscuit 15 taka.
Tomar taka same, kintu SEI taka die aage jeto kom jinis kena jay — ETAI inflation.
Tai taka sudhu rekhe dile tar ""kena khomota"" aste aste kome. 📉"
Sourav ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Sourav! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
"ei weekend e Darjeeling jachhi, ২ দিনের plan suggest koro","দার্জিলিং ২ দিনের plan:

**দিন ১:**
- সকালে পৌঁছে hotel check-in, তারপর **Mall Road** আর আশপাশ হেঁটে ঘোরো।
- দুপুরে local খাবার — মোমো আর থুকপা must! 🥟
- বিকেলে **Batasia Loop** আর **Peace Pagoda**।
- সন্ধ্যায় Mall-এ বসে গরম কফি — পাহাড়ের সন্ধ্যা এমনিই সুন্দর।

**দিন ২:**
- ভোর ৩:৩০-এ উঠে **Tiger Hill** — কাঞ্চনজঙ্ঘার সূর্যোদয়, পুরো trip-এর সেরা মুহূর্ত।
- ফেরার পথে **Ghoom Monastery**।
- সময় থাকলে **Toy Train** joyride (আগে থেকে book করা ভালো)।

টিপ: গরম জামা নিও, আর weekend-এ হোটেল আগেভাগে book করে যেও।"
"ami aj khub down feel korchi, kichu motivational bol na","Ei kharap somoy ta permanent na, temporary. Ekhon ekta chhoto kaj kor —
ekTa chai bana, 10 minute hnete aay. Nijeke ekbar bol: ""ami parbo"".
Kal abar notun kore start korbi. Tui ekla nos, ami achi. EkTu ekTu kore hobei. 💪"
অফিসে তিন দিনের ছুটির জন্য একটা দরখাস্ত লিখে দাও,"বিষয়: তিন দিনের ছুটির আবেদন

মহাশয়,

সবিনয়ে জানাই, পারিবারিক প্রয়োজনে আগামী [তারিখ] থেকে [তারিখ] পর্যন্ত মোট তিন দিন আমি অফিসে উপস্থিত থাকতে পারব না। এই সময়ের জরুরি কাজগুলো আমি আগেই গুছিয়ে দিয়ে যাব, এবং প্রয়োজনে ফোন বা ই-মেলে আমাকে পাওয়া যাবে।

অনুগ্রহ করে ছুটি মঞ্জুর করলে বাধিত থাকব।

ধন্যবাদান্তে,
[আপনার নাম]
[পদ, বিভাগ]
[তারিখ]"
Arjun ke dinner er jonno invite korte ekTa casual message likhe de,"""Ei Arjun, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
tumi ekjon friendly cooking dada. ami jiggesh korchi: Maggi aktu different kre kivabe banabo?,"Areh sohoj! Try kor ""Masala Maggi"":
1. Jol e Maggi + tastemaker dewar somoy ekTu piyaj-kuchi, kacha lonka, ar samanya
   halud de.
2. Prai hoye ele upore ekTa dim bhenge de, halka nere de.
3. Sesh e ektu ghee/makhon ar dhone pata — beshi bhalo lagbe!
Cheese thakle upore ektu grate kore de, ekdom restaurant feel. 😋 Ranna kore janas!"
"ei paragraph ta 2 line e summarize kor: 'ajke office e notun project er meeting chilo. boss bollo deadline khub tight, tai sobaike weekend eo kaj korte hote pare. team ektu tension e ache.'","1. Notun project er deadline khub tight — weekend eo kaj korte hote pare.
2. Sei niye team er modhye ekTu tension cholche."
"আজ খুব boring লাগছে, কিছু suggest করো","একটা নতুন playlist শোনো, বা ঘরটা একটু organize করে ফেলো — ছোট কিছু করলেই mood ঘুরে যাবে। 🎧"
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'boi ta 250 taka, dokan Gariahat e'",Jinis: boi | Dam: 250 taka | Jayga: Gariahat
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kre de: 'amr flight AI-302, sokal 9:15'",Flight: AI-302 | Somoy: sokal 9:15
‘Good morning’ বাংলায় কী বলব?,‘শুভ সকাল’।
ei msg er intent/uddeshyo ek katha y bol: 'pls aktu taratari koro',Onurodh (request)
"ekTa shirt 450 taka, duto nile koto?","450 × 2 = **900 taka**.

Mone mone korar upay: 450 = 400 + 50 → (400 × 2) + (50 × 2) = 800 + 100 = 900."
"আমার মন খারাপ, একটু ভালো কিছু বলো","মন খারাপ হওয়াটা দোষের কিছু না, এটাও কেটে যাবে। এখন ছোট্ট একটা কাজ করো —
এক গ্লাস জল খাও, একটু জানলার পাশে গিয়ে দাঁড়াও। নিজেকে বলো, ""আমি ঠিক আছি, সামলে নেব।""
আমি আছি তোমার সাথে। 🌼"
"ei text ta positive, negative na neutral bol: 'value for money, kono complaint nei'",Positive. Dam-mane niye satisfied.
Sneha ke deri howar jnno sorry bolte 1ta short msg likhe de,"""Sneha, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
"ei text ta positive, negative na neutral bol: 'gift hisebe perfect'",Positive. Gift er jonno bhalo bolche.
eita casual Banglish e bolo: 'Good luck for your exam.',Tomar exam er jonno best of luck!
"ei ta English e translate kre de: 'ami cheshta korchhi, kintu hocche na'","I'm trying, but it's not working out."
Sneha ke dinner er jonno invite korte ekTa casual message likhe de,"""Ei Sneha, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
ei banglish line er banan/gathon thik kore de: 'amra kothay jabo thik korini',Amra kothay jabo ekhono thik korini.
Priya ke dinner er jnno invite krte ekTa casual msg likhe de,"""Ei Priya, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
"ei text ta positive, negative na neutral bol: 'ranna thanda chilo, taste o valo na'",Negative. Khabar quality kharap.
"ami student, mase 2000 taka bachate chai, kibhabe? practical tips de","Realistic plan:
1. Roj kotota kharcha hocche ek jaygay likhe rakh (phone note e) — kothay taka jacche seta agee jano.
2. Baire khawa 50% komiye de — mase eitatei onek taka bachbe.
3. ""Chai/snacks"" er jonno saptahe ekta fixed budget rakh, tar beshi na.
4. Mash er suru tei 2000 aage aloada kore rakh (jate kharcha na hoy), baki taka die cholis.
Ek mash try kore dekh, adot hoye jabe. 💰"
Bharoter swadhinota dibas kobe?,"Bharoter swadhinota dibas **15 August** — 1947 saler ei dine desh British shason theke swadhin hoy.

Proti bochor ei dine Dilli r Lal Kella y jatiyo potaka tola hoy."
"ei message er intent/uddeshyo ek katha y bol: 'ami confirm korchi, ami asbo'",Nishchitkoron (confirmation)
kal ekTa productive din er plan kore de,"Ekta simple productive din:
- Sokal: uthe 10 min hnata/stretch, tarpor din er top 3 kaj likhe felo.
- Dupur er aage: sob theke kothin kaj ta age koro (mon fresh thake).
- Dupur: kheye 15-20 min rest, phone kom.
- Bikel: baki kaj + ektu porasona/skill.
- Raat: phone off, kal ki korbe ekbar likhe ghumate jao.
Sob perfect korte hobe na — 3 ta main kaj holei din successful. ✅"
"akta ghor 4 mitar * 5 mitar, khetrofol koto?","Ayotokkhetrer khetrofol = dirgho × prostho

- 4 × 5 = **20 borgo mitar (m²)**

Mone rakhis: khetrofol sob somoy 'borgo' unit e hoy — mitar × mitar = borgo mitar."
"amar boss unfair behave korche, ki korbo? calm advice de","Age mathay thanda rakh, react koris na. Tarpor:
1. Ki ki hocche seta date soho likhe rakh — proof thakle subidha.
2. Ekbar boss er sathe calmly, privately kotha bolar cheshta kor — hoyto miscommunication.
3. Tao na hole HR ba senior kauke jana, professionally.
4. Mental peace nosto hole onno option (team change/notun job) o vabar odhikar tor ache.
Nijer self-respect ta age. 🙏"
ei ta English e translate kore de: 'ami ei bishoye kichu jani na',I don't know anything about this.
"পড়তে ইচ্ছে করছে না, একটু motivation দাও","ইচ্ছে না করলেও শুধু ১০ মিনিট শুরু করো — বেশিরভাগ সময় শুরু করাটাই কঠিন, তারপর মন বসে যায়। তুমি পারবে। 📚"
ei ta English e translate kore de: 'kheyecho? shorir kemon ache?',Have you eaten? How are you feeling?
ei banglish line er banan/gathon thik kore de: 'amar khub kilde peyeche',Amar khub khide peyeche.
eita casual Banglish e bolo: 'Don't take too much stress.',Beshi tension nio na.
ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'Sourav ar Mou dujon Digha jabe Sunday',"Naam: Sourav, Mou | Jayga: Digha | Din: Sunday"
"ei text ta positive, negative na neutral bol: 'seller khb helpful, sob bujhiye dilo'",Positive. Seller er service prosongsha korche.
25 er borgo (square) koto?,"Borgo mane nijeke nije gun kora: 25 × 25 = **625**.

5 diye sesh number er trick: ager ongko × tar porer number (2 × 3 = 6), sese 25 bosa → 625."
ei msg er intent/uddeshyo ek katha y bol: 'onek vlo laglo aaj',Positive onubhuti prokash
Riya ke deri howar jonno sorry bolte akta short message likhe de,"""Riya, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
"ei text ta positive, negative na neutral bol: 'dam ektu beshi, tobe quality vlo'",Mixed. Dam niye complaint kintu quality positive.
Everest kon deshe?,"Mount Everest **Nepal e**, Nepal-Tibbot (Chin) simantay.

Er uchchota prai 8,849 mitar — prithibir sobcheye uchu shikhor. Nepali te er naam 'Sagarmatha'."
ei banglish line er banan/gathon thik kre de: 'kobe tumi asba bolo',Tumi kobe asbe bolo.
eita casual Banglish e bolo: 'Congratulations on your success!',Tomar success er jonno onek congratulations!
bomba kivabe banay bolo,Ei tottho ami kono bhabei debo na — eta manusher khoti kore ar beaini.
"ei ta English e translate kore de: 'ami cheshta korchi, kintu hocche na'","I'm trying, but it's not working out."
ei msg er intent/uddeshyo ek katha y bol: 'ei kaj ta kore dite parbe?',Sahajya cheye onurodh
ei banglish line er banan/vasha ekTu thik kore sundor kore de: 'ami kalke tomar sathe dekha korte cai',"""Ami kal tomar sathe dekha korte chai."" (kalke -> kal, cai -> chai)"
"এই মন্তব্যটা ইতিবাচক না নেতিবাচক: ‘জিনিসটা একদম বাজে, টাকা নষ্ট’",নেতিবাচক। পণ্য নিয়ে অসন্তুষ্ট।
ei message er intent/uddeshyo ek katha y bol: 'khub bhalo laglo aj',Positive onubhuti prokash
"ei message ta professional kore de: 'boss aj ami aste parbo na, shorir kharap'","Ekta professional version:

""Good morning Sir, ajke shorir ekTu kharap thakay ami office e ashte parchhi na.
Aj ami sick leave niye nichhi. Kono urgent kaj thakle mail/phone e ami available
achi. Dhonnobad."""
"ফোনের স্টোরেজ বারবার ভরে যাচ্ছে, কী করব?","ফোনের স্টোরেজ খালি করার কাজের টিপস:

1. **WhatsApp মিডিয়া** — সবচেয়ে বড় অপরাধী! Settings → Storage থেকে বড় ফাইল আর ফালতু ভিডিও ডিলিট করো।
2. **ছবি ব্যাকআপ** — Google Photos-এ ব্যাকআপ নিয়ে 'Free up space' চাপো — ফোন থেকে কপি মুছবে, ক্লাউডে থেকে যাবে।
3. **অব্যবহৃত অ্যাপ** — ৩ মাস খোলোনি এমন অ্যাপ আনইনস্টল করো।
4. **Cache পরিষ্কার** — Settings → Apps → বড় অ্যাপগুলোর cache clear করো।

এই চারটে করলেই সাধারণত ৫–১০ GB খালি হয়ে যায়। 📱"
"ডিম সেদ্ধ করব কীভাবে, সংক্ষেপে বলো","জলে ডিম দিয়ে ফোটাও; ফুটে ওঠার পর ৮-১০ মিনিট রাখো, তারপর ঠান্ডা জলে দিলে খোসা সহজে ছাড়বে। 🥚"
1ta chhoto bio likhe de Instagram er jonno — ami ekjon photographer,"Kichu option:
1. ""Muhurto gulo dhore rakhi 📷 | Kolkata""
2. ""EkTa photo, ekTa golpo 🌆 | DM for shoots""
3. ""Alo, chhaya ar tumi ✨ Photographer"""
ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'Dr. Sen ke dekhabo Budhbar bikele',Naam: Dr. Sen | Din: Budhbar | Somoy: bikel
Rahul er boyos Sita r dwigun. Sita 10 bochor. Rahul koto?,"Ja jani ta sajiye ne:
- Sita r boyos = 10
- Rahul = Sita r dwigun = 2 × 10 = **20 bochor**

Check: 20 ki 10 er dwigun? Hya ✓"
jol koto degree te fote?,"Jol **100°C (Celsius)** e fote — tobe eta samudropristher chape.

Pahare uthle bataser chap kome, tai jol 100 er kom tapmatra tei fute jay — ei jonnei uchu pahare rannay beshi somoy lage."
"রান্না করতে ইচ্ছে করছে না, সহজ কিছু বলো","ইচ্ছে না করলে একদম হালকা কিছু কর:
- ডিম-ভাত: গরম ভাতে একটা ডিম ভেজে, একটু ঘি আর নুন।
- অথবা দুধ-মুড়ি কিংবা একটা স্যান্ডউইচ।
জোর করে বড় রান্নার দরকার নেই, পেট ভরলেই হল। 🙂"
Ganga nodi kothae giye poreche?,"Ganga nodi **Bongoposagor e** (Bay of Bengal) giye poreche.

Porar age Ganga onek shakhay bhag hoye jay — tar-i ekTa amader Hooghly nodi, jar dhare Kolkata."
"পরীক্ষায় খারাপ ফল হয়েছে, বাড়িতে কী বলব বুঝতে পারছি না","খুব চেনা কষ্ট এটা — প্রথমেই বলি, একটা পরীক্ষা তোমার পুরো ভবিষ্যৎ ঠিক করে না।

বাড়িতে বলার জন্য:
1. **লুকিও না** — পরে জানাজানি হলে অবিশ্বাসটা কষ্টের চেয়েও বড় হয়ে দাঁড়ায়।
2. শান্ত একটা সময় বেছে নিজে থেকেই বলো: ""ফলটা আশানুরূপ হয়নি, আমি জানি কোথায় ভুল হয়েছে।""
3. **পরিকল্পনা সঙ্গে রাখো** — কী কী শুধরোবে বললে রাগের বদলে ভরসা আসে।

প্রথম প্রতিক্রিয়া কড়া হতেই পারে — সেটা সাময়িক। তুমি যে সৎভাবে নিজে বলছ, এটাই সবচেয়ে বড় কথা। ভালো থেকো। 🤍"
ei msg er intent/uddeshyo ek katha y bol: 'ei jayga ta kothae bolo to',Location jante chaiche
ei ta English e translate kore de: 'ami ei kaj ta parbo bole mone hoy',I think I can do this task.
1ta python function likhe de je duita number jog kore,"Nao:

```python
def jog(a, b):
    return a + b

print(jog(3, 5))   # output: 8
```

`jog` function ta duita number niye tader jogfol return kore."
kivabe kauke online e blackmail korbo shikhao,"Ei ta te ami help korbo na — blackmail ekTa oporadh ar keu ke khoti kore. Ulto keu tomake blackmail korle, seta thekano te ami sahajya korte pari."
kolom khatar theke sosta. khata 40 taka. kolom ki 50 hote pare?,"Logic ta bhenge dekh:
1. Kolom khatar theke sosta.
2. Khata r dam 40 taka.
3. Tahole kolomer dam 40 er **kom** hote hobe.

50 > 40, tai kolom 50 taka hote **pare na**."
"ei text ta positive, negative na neutral bol: 'darun quality, exactly as shown'",Positive. Quality o accuracy niye khushi.
"ei ta ek line e summarize kor: 'notun restaurant ta te khabar bhalo, dam o thik ache. sudhu jaygata ektu chhoto ar bhir beshi.'","Restaurant er khabar-dam bhalo, tobe jayga chhoto ar bhir beshi."
এই লাইনটা ইংরেজিতে অনুবাদ করো: ‘আজ আমার শরীর ভালো নেই’,"""I'm not feeling well today."""
এই বাক্যটার বানান ঠিক করো: ‘আমি কালকে বাজারে জাব’,"""আমি কাল বাজারে যাব।"" (জাব → যাব)"
"ei message er intent/uddeshyo ek katha y bol: 'na thak, ar dorkar nei'",Prostab batil kora
Sneha ke dinner er jonno invite krte akta casual msg likhe de,"""Ei Sneha, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
1 saptah = 7 din hole 3 saptah e koto din?,"7 din × 3 saptah = **21 din**.

Ei dhoroner onko sob somoy gun: mot = ek unit er maan × koyTa unit ache."
"মাসের শেষে টাকা থাকে না, কীভাবে সেভ করা শুরু করব?","টাকা জমানো শুরু করার বাস্তব উপায়:

1. **আগে জমাও, পরে খরচ** — মাইনে পেয়েই ১০–২০% আলাদা অ্যাকাউন্টে সরিয়ে ফেলো। যা থাকে তা দিয়ে মাস চালাও — উল্টোটা নয়।
2. **খরচ লেখো** — এক মাস প্রতিটা খরচ টুকে দেখো। টাকা কোথায় 'হারিয়ে যাচ্ছে' দেখে নিজেই চমকে যাবে (বেশিরভাগ সময়: বাইরের খাবার আর সাবস্ক্রিপশন)।
3. **৫০-৩০-২০ নিয়ম** — আয়ের ৫০% প্রয়োজনে, ৩০% শখে, ২০% সঞ্চয়ে।
4. ছোট শুরুই যথেষ্ট — দিনে ৫০ টাকা মানেও বছরে ১৮,০০০+।

মনে রেখো: জমানো অভ্যাসের ব্যাপার, অঙ্কের নয়। 💰"
ei ta English e translate kore de: 'ei chhobi ta ke tulechilo?',Who took this photo?
"'procrastination' mane ki, ar kivabe komabo?","Procrastination mane — dorkari kaj ta pichiye deya, ""pore korbo"" kore.
Komanor upay:
1. Kaj ta ETO chhoto kore nao je start korte alsemi na lage (jemon ""sudhu 5 min korbo"").
2. Phone ke dur e rakh.
3. Kaj sesh hole nijeke chhoto ekTa reward de.
Suru kora tai sob theke kothin — ekbar shuru korle baki ta hoye jay."
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'amar PIN code 700001, thaki Kolkata te'",PIN: 700001 | Shohor: Kolkata
eita casual Banglish e bolo: 'I'm really proud of you.',Ami sotti tomake niye gorbito.
"girlfriend rag korche, sorry bolar jonne 1ta sweet msg likhe de","Try kor eita:

""Ami jani ami vul korechi, ar tomake kosto diyechi seta feel korchi. Tumi amar
kache koto important seta ami janai na thik moto — sorry. Ekbar kotha bolo please,
ami thik kore nebo. ❤️"""
ei message er intent/uddeshyo ek katha y bol: 'kal ki tumi asbe?',Proshno (plan jante chaiche)
amake ekTa short thank you message likhe de — keu amake help korechilo,"""Sedin tumi je help ta korle, seta ami sotti mone rakhbo. Onek dhonnobad — dorkar e tomake pashe peyechi, eta khub bhalo laglo. 🙏"""
Dev ke deri howar jonno sorry bolte ekTa short message likhe de,"""Dev, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
ei line ta polite/professional kore de: 'taratari reply dao',"Apnar subidhamoto ekbar reply dile bhalo hoto, jehetu bishoy ta ektu somoy-sapekkho. Dhonnobad."
এই বাক্যটা ইংরেজিতে বলো: ‘আজ আমি খুব ব্যস্ত’,"""I'm very busy today."""
রাগ কমানোর একটা সহজ উপায় বলো,"রেগে গেলে সঙ্গে সঙ্গে কিছু বোলো না — বড় করে চারটে শ্বাস নাও, একটু জল খাও। তারপর ঠান্ডা মাথায় কথা বোলো।"
ei message er intent/uddeshyo ek katha y bol: 'ei kaj ta kore dite parbe?',Sahajya cheye onurodh
"Riya ke ekTa thank you message likhe de, o amay onk help korechilo","""Riya, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
"ei msg ta professional kore de: 'boss ajke ami aste parbo na, shorir kharap'","Ekta professional version:

""Good morning Sir, ajke shorir ekTu kharap thakay ami office e ashte parchhi na.
Aj ami sick leave niye nichhi. Kono urgent kaj thakle mail/phone e ami available
achi. Dhonnobad."""
"Rahul ke ekTa thank you message likhe de, o amay onek help korechilo","""Rahul, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
"ei ta English e translate kore de: 'ami raste e achi, 10 min e pouchachhi'","I'm on the way, I'll reach in 10 minutes."
eita casual Banglish e bolo: 'Thank you so much.',Onek onek dhonnobad.
"ei message er intent/uddeshyo ek katha y bol: 'darun kaj korecho, thanks'",Proshongsha o dhonnobad
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kore de: 'amr email rahul@mail.com, phone 90000 11111'",Email: rahul@mail.com | Phone: 90000 11111
"ei text ta positive, negative na neutral bol: 'ekdom fake jinis'",Negative. Nokol/fake product er obhijog.
"party te ki porbo bujhte parchi na, ekTa simple suggestion de (chele)","Simple ar safe combo:
- EkTa solid color shirt (kalo/white/navy) + jeans.
- Sneakers pori-porishkar rakh.
- Chul ta ektu set kore, halka perfume.
Overdress korar dorkar nei — clean ar fit thik thaklei bhalo lagbe. 👕"
ei ta English e translate kore de: 'taratari sustho hoe jao',Get well soon.
suryo ki?,"Suryo ekTa **nokkhotro (star)** — amader sob theke kachher nokkhotro.

Eta eto boro je er bhitore prai 13 lokkho prithibi dhore jabe, ar er alo amader kachhe pouchate prai 8 minute 20 second lage."
Arjun ke deri howar jonne sorry bolte akta short msg likhe de,"""Arjun, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
ei banglish line er banan/gathon thik kore de: 'or sathe amr kotha hoyeni',Or sathe amar kotha hoyni.
কারো ফেসবুক অ্যাকাউন্ট হ্যাক করার উপায় বলো,"না, এতে আমি সাহায্য করব না — অন্যের অ্যাকাউন্টে অনুমতি ছাড়া ঢোকা বেআইনি এবং মানুষের ক্ষতি করে।

তবে উল্টো দিকটায় সাহায্য করতে পারি:
- তোমার নিজের অ্যাকাউন্ট হ্যাক হলে সেটা উদ্ধারের ধাপ
- অ্যাকাউন্ট সুরক্ষিত রাখার উপায় (শক্ত পাসওয়ার্ড, two-factor authentication)

কোনটা দরকার, বলো।"
ছোট্ট একটা শুভরাত্রি বার্তা লেখো,"""সারাদিনের ক্লান্তি ভুলে শান্তিতে ঘুমাও। শুভরাত্রি। 🌙"""
Sourav ke deri howar jonne sorry bolte akta short msg likhe de,"""Sourav, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
"UPI diye bhul number e taka pathiye felechi, ki krbo ekhon?","Tension nis na — step by step ja korbi:

1. **Sathe sathe proman gochha** — transaction ID, somoy, amount er screenshot ne.
2. **UPI app er Help e complaint kor** — GPay/PhonePe/Paytm sob app ei 'payment sent to wrong account' option ache.
3. **Nijer bank er customer care e phone kor** — complaint number ta likhe rakh, follow-up e lagbe.
4. Receiver ke chinle bhodro bhabe request kor — onek manush emni tei ferot dey.
5. Boro amount hole bank e giye written complaint kor.

Sob theke important: **joto taratari report korbi, taka ferot pawar chance toto beshi.** 💸"
manush ki diye shash ney?,"Manush **fusfus (lungs)** diye shash ney.

Shash e amra oxygen nei ar carbon dioxide chhari — ei binimoy ta hoy fusfuser lokkho lokkho khude thoili te, jader naam alveoli."
120 km 2 ghontay gele speed koto?,"Speed er sutra: speed = durotto ÷ somoy

- 120 ÷ 2 = **60 km/ghonta**

Ei sutra ghurie onno duto o pabi: durotto = speed × somoy, somoy = durotto ÷ speed."
"Sneha ke ekTa thank you message likhe de, o amay onek help korechilo","""Sneha, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
"Ananya er birthday, ekTa short sweet Banglish wish likhe de","""Shubho jonmodin Ananya! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
"dim bhaji banate ki ki lagbe ar kivabe korbo, short e bol","Lagbe: 2 ta dim, ekTu piyaj kuchi, kacha lonka, nun, halud, tel.

Kivabe:
1. Dim gulo bhalo kore fetao, tate nun+halud die de.
2. Kadai te tel gorom kore piyaj-lonka bhaje.
3. Fetano dim dhele de, aste aste narte thak jotokkhon na jome jay. Hoye gelo! 🍳"
online shopping e fraud theke bachar upay ki? কয়েকটা টিপস দাও,"Online fraud থেকে বাঁচার জরুরি নিয়ম:

1. **অচেনা link-এ ক্লিক নয়** — SMS/WhatsApp-এ আসা 'অবিশ্বাস্য offer'-এর লিংক এড়িয়ে যাও; আসল সাইটে নিজে টাইপ করে ঢোকো।
2. **OTP কাউকে নয়** — ব্যাংক, delivery boy, 'customer care' — ফোনে কেউ OTP চাইলে সেটা ১০০% fraud।
3. **নতুন সাইটে Cash on Delivery** — সন্দেহ হলে আগে টাকা দিও না।
4. **URL দেখো** — https আছে কি না, বানান ঠিক কি না (flipkart vs fllpkart)।
5. ঠকে গেলে সঙ্গে সঙ্গে **1930**-এ ফোন করো (জাতীয় সাইবার ক্রাইম হেল্পলাইন) — যত দ্রুত জানাবে, টাকা ফেরার সম্ভাবনা তত বেশি। 🛡️"
